Area Type,Area Name (County Names),Period,SOC Level,Standard Occupational Classification (SOC),Occupational Title,Base Year Employment Estimate,Projected Year Employment Estimate,Numeric Change,Percentage Change,Exits,Transfers,Total  Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,27-3041,Editors,190,180,-10,-5.3,60,150,200,37.98,78985.0,Bachelor's degree,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,27-3042,Technical Writers,40,40,0,0.0,10,20,30,29.000779941373487,60176.83396147404,Bachelor's degree,<5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,27-3043,Writers and Authors,140,150,10,7.1,60,90,160,37.5,77994.0,Bachelor's degree,≥5 years,Long-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,27-3099,"Media and Communication Workers, All Other",90,100,10,11.1,40,50,100,28.53,59334.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,27-4000,Media and Communication Equipment Workers,530,550,20,3.8,170,380,570,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,27-4011,Audio and Video Equipment Technicians,170,220,50,29.4,70,150,270,37.58,78158.0,Postsecondary non-degree award,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,27-4021,Photographers,100,80,-20,-20.0,30,50,60,24.08,50067.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,27-4032,Film and Video Editors,90,120,30,33.3,30,80,140,29.58,61537.0,Bachelor's degree,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,2,29-0000,Healthcare Practitioners and Technical Occupations,6330,7480,1150,18.2,1760,1930,4840,50.0,104008.0,No information available,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,29-1000,Health Diagnosing and Treating Practitioners,4410,5270,860,19.5,1130,1100,3090,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-1021,"Dentists, General",330,350,20,6.1,70,30,120,63.37,131817.0,Doctoral or professional degree,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-1031,Dietitians and Nutritionists,30,30,0,0.0,10,10,20,41.12,85537.0,Bachelor's degree,≥5 years,Internship/residency
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-1041,Optometrists,40,40,0,0.0,10,0,10,29.000779941373487,60176.83396147404,Doctoral or professional degree,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-1051,Pharmacists,140,150,10,7.1,30,30,70,71.73,149196.0,Doctoral or professional degree,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-1062,Family and General Practitioners,120,130,10,8.3,20,20,50,29.000779941373487,60176.83396147404,Doctoral or professional degree,≥5 years,Internship/residency
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-1066,Psychiatrists,160,170,10,6.3,30,20,60,29.000779941373487,60176.83396147404,Doctoral or professional degree,≥5 years,Internship/residency
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-1069,"Physicians and Surgeons, All Other",440,490,50,11.4,80,60,190,29.000779941373487,60176.83396147404,Doctoral or professional degree,≥5 years,Internship/residency
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-1123,Physical Therapists,180,220,40,22.2,40,50,130,48.49,100863.0,Doctoral or professional degree,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-1127,Speech-Language Pathologists,220,260,40,18.2,50,80,170,51.5,107129.0,Master's degree,≥5 years,Internship/residency
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-1131,Veterinarians,30,50,20,66.7,10,10,40,45.84,95356.0,Doctoral or professional degree,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-1141,Registered Nurses,2030,2500,470,23.2,630,580,1680,52.92,110078.0,Bachelor's degree,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-1171,Nurse Practitioners,140,190,50,35.7,30,60,140,63.19,131424.0,Master's degree,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,29-2000,Health Technologists and Technicians,1840,2140,300,16.3,620,810,1730,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-2010,Clinical Laboratory Technologists and Technicians,160,200,40,25.0,50,60,150,25.06,52119.0,Bachelor's degree,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-2034,Radiologic Technologists,100,120,20,20.0,30,30,80,38.92,80956.0,Associate's degree,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-2052,Pharmacy Technicians,300,320,20,6.7,90,160,270,21.66,45064.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-2053,Psychiatric Technicians,90,90,0,0.0,30,50,80,34.32,71389.0,Postsecondary non-degree award,<5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-2056,Veterinary Technologists and Technicians,40,60,20,50.0,20,30,70,21.69,45112.0,Associate's degree,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-2061,Licensed Practical and Licensed Vocational Nurses,370,410,40,10.8,130,160,330,34.47,71701.0,Postsecondary non-degree award,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-2071,Medical Records and Health Information Technicians,100,120,20,20.0,30,40,90,29.000779941373487,60176.83396147404,Postsecondary non-degree award,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,29-9000,Other Healthcare Practitioners and Technical Occupations,80,80,0,0.0,20,30,50,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,29-9011,Occupational Health and Safety Specialists,50,60,10,20.0,10,20,40,29.000779941373487,60176.83396147404,Bachelor's degree,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,2,31-0000,Healthcare Support Occupations,2840,3330,490,17.3,1490,2010,3990,20.65,42963.0,No information available,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,31-1000,"Nursing, Psychiatric, and Home Health Aides",650,750,100,15.4,380,410,890,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,31-1014,Nursing Assistants,590,670,80,13.6,340,370,790,29.000779941373487,60176.83396147404,Postsecondary non-degree award,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,140,150,10,7.1,60,110,180,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,31-2022,Physical Therapist Aides,80,80,0,0.0,30,60,90,16.2,33694.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,31-9000,Other Healthcare Support Occupations,2050,2430,380,18.5,1050,1490,2920,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,31-9091,Dental Assistants,690,780,90,13.0,340,480,910,24.25,50440.0,Postsecondary non-degree award,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,31-9092,Medical Assistants,590,750,160,27.1,260,480,900,22.96,47753.0,Postsecondary non-degree award,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,30,40,10,33.3,20,40,70,29.000779941373487,60176.83396147404,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,2,33-0000,Protective Service Occupations,2920,2980,60,2.1,1290,1720,3070,38.88,80884.0,No information available,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,33-1000,Supervisors of Protective Service Workers,210,210,0,0.0,60,90,150,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,33-1011,First-Line Supervisors of Correctional Officers,110,100,-10,-9.1,30,40,60,29.000779941373487,60176.83396147404,High school diploma or equivalent,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,50,50,0,0.0,10,20,30,53.12,110494.0,Postsecondary non-degree award,<5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,33-2000,Fire Fighting and Prevention Workers,460,460,0,0.0,90,230,320,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,33-2011,Firefighters,450,450,0,0.0,80,220,300,42.42,88237.0,Postsecondary non-degree award,≥5 years,Long-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,33-3000,Law Enforcement Workers,1370,1290,-80,-5.8,440,650,1010,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,33-3012,Correctional Officers and Jailers,880,810,-70,-8.0,320,420,670,29.000779941373487,60176.83396147404,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,33-3051,Police and Sheriff's Patrol Officers,460,460,0,0.0,110,210,320,56.18,116858.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,33-9000,Other Protective Service Workers,880,1030,150,17.0,710,760,1620,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,33-9032,Security Guards,580,680,100,17.2,320,490,910,18.2,37864.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",100,100,0,0.0,140,110,250,14.86,30919.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,33-9099,"Protective Service Workers, All Other",70,80,10,14.3,100,90,200,29.000779941373487,60176.83396147404,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,2,35-0000,Food Preparation and Serving Related Occupations,13500,14710,1210,9.0,9800,14310,25320,15.2,31625.0,No information available,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,35-1000,Supervisors of Food Preparation and Serving Workers,870,940,70,8.0,350,960,1380,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-1011,Chefs and Head Cooks,350,390,40,11.4,110,370,520,34.32,71389.0,High school diploma or equivalent,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,520,560,40,7.7,230,590,860,23.27,48400.0,High school diploma or equivalent,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,35-2000,Cooks and Food Preparation Workers,3760,4180,420,11.2,2290,3610,6320,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-2011,"Cooks, Fast Food",350,310,-40,-11.4,180,290,430,29.000779941373487,60176.83396147404,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-2012,"Cooks, Institution and Cafeteria",200,220,20,10.0,110,190,320,19.6,40765.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-2013,"Cooks, Private Household",50,50,0,0.0,30,40,70,29.000779941373487,60176.83396147404,Postsecondary non-degree award,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-2014,"Cooks, Restaurant",2000,2390,390,19.5,1170,1940,3500,17.14,35661.0,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-2021,Food Preparation Workers,860,940,80,9.3,660,900,1640,15.57,32400.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,35-3000,Food and Beverage Serving Workers,6530,7060,530,8.1,5050,7460,13040,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-3011,Bartenders,500,510,10,2.0,240,650,900,15.32,31855.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",2800,3190,390,13.9,2390,2950,5730,29.000779941373487,60176.83396147404,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",300,310,10,3.3,340,320,670,29.000779941373487,60176.83396147404,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-3031,Waiters and Waitresses,2650,2720,70,2.6,1860,3290,5220,14.29,29715.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-3041,"Food Servers, Nonrestaurant",280,320,40,14.3,220,250,510,22.07,45917.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,35-9000,Other Food Preparation and Serving Related Workers,2340,2530,190,8.1,2110,2280,4580,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,1120,1260,140,12.5,980,1050,2170,13.41,27894.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-9021,Dishwashers,650,680,30,4.6,500,560,1090,15.4,32037.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",530,560,30,5.7,600,640,1270,14.71,30605.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,35-9099,"Food Preparation and Serving Related Workers, All Other",50,40,-10,-20.0,40,40,70,29.000779941373487,60176.83396147404,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,2,37-0000,Building and Grounds Cleaning and Maintenance Occupations,5810,6480,670,11.5,3470,4540,8680,18.72,38920.0,No information available,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,380,460,80,21.1,160,310,550,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,180,220,40,22.2,90,150,280,27.04,56234.0,High school diploma or equivalent,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",200,240,40,20.0,80,160,280,29.88,62153.0,High school diploma or equivalent,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,37-2000,Building Cleaning and Pest Control Workers,3990,4380,390,9.8,2680,2870,5940,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2530,2860,330,13.0,1650,1900,3880,18.87,39253.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,37-2012,Maids and Housekeeping Cleaners,1420,1470,50,3.5,1020,920,1990,17.17,35724.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,37-3000,Grounds Maintenance Workers,1440,1650,210,14.6,630,1370,2210,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,37-3011,Landscaping and Groundskeeping Workers,1330,1530,200,15.0,590,1270,2060,19.2,39948.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,2,39-0000,Personal Care and Service Occupations,9460,11270,1810,19.1,7030,7980,16820,20.51,42651.0,No information available,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,39-1000,Supervisors of Personal Care and Service Workers,780,900,120,15.4,340,480,940,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,39-1021,First-Line Supervisors of Personal Service Workers,780,900,120,15.4,340,470,930,29.000779941373487,60176.83396147404,High school diploma or equivalent,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,39-2000,Animal Care and Service Workers,610,720,110,18.0,440,610,1160,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,39-2021,Nonfarm Animal Caretakers,490,570,80,16.3,370,490,940,15.72,32697.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,39-3000,Entertainment Attendants and Related Workers,440,480,40,9.1,490,560,1090,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,39-3091,Amusement and Recreation Attendants,390,430,40,10.3,440,510,990,14.13,29386.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,39-5000,Personal Appearance Workers,1010,1110,100,9.9,620,660,1380,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",630,690,60,9.5,400,420,880,19.62,40816.0,Postsecondary non-degree award,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,39-6000,"Baggage Porters, Bellhops, and Concierges",30,40,10,33.3,20,30,60,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,39-7000,Tour and Travel Guides,40,50,10,25.0,40,50,100,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,39-9000,Other Personal Care and Service Workers,6560,7990,1430,21.8,5090,5610,12130,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,39-9011,Childcare Workers,840,770,-70,-8.3,590,610,1130,15.06,31314.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,39-9021,Personal Care Aides,3950,5110,1160,29.4,3350,2970,7480,29.000779941373487,60176.83396147404,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,39-9031,Fitness Trainers and Aerobics Instructors,1140,1400,260,22.8,760,1350,2370,30.08,62558.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,39-9032,Recreation Workers,460,520,60,13.0,290,520,870,14.68,30522.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,39-9099,"Personal Care and Service Workers, All Other",80,90,10,12.5,50,70,130,29.000779941373487,60176.83396147404,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,2,41-0000,Sales and Related Occupations,11570,11340,-230,-2.0,6080,9820,15670,19.31,40152.0,No information available,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,41-1000,Supervisors of Sales Workers,1550,1520,-30,-1.9,520,1120,1610,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-1011,First-Line Supervisors of Retail Sales Workers,1240,1240,0,0.0,430,930,1360,21.75,45255.0,High school diploma or equivalent,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-1012,First-Line Supervisors of Non-Retail Sales Workers,310,280,-30,-9.7,100,190,260,31.2,64896.0,High school diploma or equivalent,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,41-2000,Retail Sales Workers,6760,6510,-250,-3.7,4480,6040,10270,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-2011,Cashiers,2330,2300,-30,-1.3,2060,2300,4330,15.81,32875.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-2021,Counter and Rental Clerks,730,690,-40,-5.5,360,550,870,16.37,34047.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-2022,Parts Salespersons,110,110,0,0.0,50,90,140,28.59,59486.0,No formal educational credential,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-2031,Retail Salespersons,3590,3420,-170,-4.7,2010,3100,4940,16.93,35226.0,No formal educational credential,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,41-3000,"Sales Representatives, Services",2120,2180,60,2.8,680,1790,2530,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-3011,Advertising Sales Agents,230,220,-10,-4.3,70,230,290,32.3,67177.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-3021,Insurance Sales Agents,240,250,10,4.2,90,150,250,38.31,79683.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-3031,"Securities, Commodities, and Financial Services Sales Agents",650,680,30,4.6,170,460,660,47.05,97851.0,Bachelor's degree,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-3099,"Sales Representatives, Services, All Other",810,900,90,11.1,250,830,1170,29.000779941373487,60176.83396147404,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,41-4000,"Sales Representatives, Wholesale and Manufacturing",740,720,-20,-2.7,220,540,740,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",150,140,-10,-6.7,50,110,150,56.82,118193.0,Bachelor's degree,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",590,580,-10,-1.7,180,440,610,31.06,64611.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,41-9000,Other Sales and Related Workers,400,420,20,5.0,180,330,530,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-9021,Real Estate Brokers,40,40,0,0.0,20,20,40,29.000779941373487,60176.83396147404,High school diploma or equivalent,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,41-9022,Real Estate Sales Agents,40,50,10,25.0,20,20,50,29.000779941373487,60176.83396147404,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,2,43-0000,Office and Administrative Support Occupations,15430,14930,-500,-3.2,7530,10290,17320,24.34,50627.0,No information available,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,43-1000,Supervisors of Office and Administrative Support Workers,1080,1070,-10,-0.9,400,720,1110,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,43-1011,First-Line Supervisors of Office and Administrative Support Workers,1080,1070,-10,-0.9,400,720,1110,30.98,64443.0,High school diploma or equivalent,<5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,43-3000,Financial Clerks,2310,2180,-130,-5.6,1250,1350,2470,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,43-3011,Bill and Account Collectors,40,30,-10,-25.0,10,30,30,29.75,61883.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,43-3021,Billing and Posting Clerks,210,230,20,9.5,90,150,260,27.47,57141.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1560,1470,-90,-5.8,920,840,1670,27.35,56892.0,"Some college, no degree",≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,43-3051,Payroll and Timekeeping Clerks,140,140,0,0.0,70,90,160,31.7,65944.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,43-3071,Tellers,340,280,-60,-17.6,150,220,310,17.18,35721.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,3,43-4000,Information and Record Clerks,3170,3250,80,2.5,1620,2550,4250,21.038139534883715,43758.32558139535,No information available,≥5 years,No Training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,43-4011,Brokerage Clerks,90,100,10,11.1,40,50,100,31.56,65630.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,43-4031,"Court, Municipal, and License Clerks",80,80,0,0.0,40,40,80,28.18,58610.0,High school diploma or equivalent,≥5 years,Long-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,43-4051,Customer Service Representatives,1360,1350,-10,-0.7,650,1160,1800,21.94,45631.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,43-4061,"Eligibility Interviewers, Government Programs",160,160,0,0.0,60,90,150,34.48,71704.0,High school diploma or equivalent,≥5 years,Moderate-term on-the-job training
Metropolitan Area,San Rafael MD (Marin County),2018-2028,4,43-4071,File Clerks,90,80,-10,-11.1,50,60,100,19.86,41299.0,High school diploma or equivalent,≥5 years,Short-term on-the-job training
